,git_hash,commit_date,cve_data,cwe_group,published_date,severity,impact_score
93,5ac22227258790c69e06bcc64cbbdf489ee51c00,2017-08-28 14:37:40+02:00,CVE-2017-5029,CWE-787,2017-04-24T23:59Z,MEDIUM,5.9
94,5ac22227258790c69e06bcc64cbbdf489ee51c00,2017-08-28 14:37:40+02:00,CVE-2016-4658,CWE-119,2016-09-25T10:59Z,HIGH,5.9
95,5ac22227258790c69e06bcc64cbbdf489ee51c00,2017-08-28 14:37:40+02:00,CVE-2015-9097,CWE-93,2017-06-12T20:29Z,MEDIUM,2.7
96,46e2b9e059e617afe6fe56da9f132568a7e6b198,2017-09-05 16:58:38+02:00,CVE-2017-12794,CWE-79,2017-09-07T13:29Z,MEDIUM,2.7
97,e35a0c56086924f331e9422daa266e907a4784cc,2017-09-05 17:05:43+02:00,CVE-2017-12794,CWE-79,2017-09-07T13:29Z,MEDIUM,2.7
98,58e08e80e362db79eb0fd775dc81faad90dca47a,2017-09-05 17:19:56+02:00,CVE-2017-12794,CWE-79,2017-09-07T13:29Z,MEDIUM,2.7
99,83c5c3cda4464aee501af5111e356f6d194037fe,2017-09-21 22:03:42+02:00,SQL_INJECTION,,,,
100,f45f7ad62a952f90430f67b36c5edc8525f346c6,2017-09-21 22:32:51+02:00,CVE-2017-9050,CWE-125,2017-05-18T06:29Z,MEDIUM,3.6
101,92173ac55cd921a65ce137e238ed8bc4474aaccb,2017-09-21 23:44:31+02:00,CVE-2017-9050,CWE-125,2017-05-18T06:29Z,MEDIUM,3.6
102,34797ad365a820505236f3814df1cf5d299f376c,2017-09-22 04:09:22+02:00,CVE-2017-9050,CWE-125,2017-05-18T06:29Z,MEDIUM,3.6
103,07b0d933b523b22464c72e0dd85bc413f455b72f,2017-09-22 10:37:19+02:00,CVE-2017-9050,CWE-125,2017-05-18T06:29Z,MEDIUM,3.6
104,fc805edf904ec712769fd2806c4154efba83b45d,2017-09-22 10:43:48+02:00,CVE-2017-9050,CWE-125,2017-05-18T06:29Z,MEDIUM,3.6
105,3efcb46a3d5202ffe25b03f7a35d862949768254,2017-09-22 12:46:53+02:00,CVE-2017-9050,CWE-125,2017-05-18T06:29Z,MEDIUM,3.6
106,40e32546f5041fd848ffd2f232850a9c51feb59c,2017-09-22 16:54:05+02:00,CVE-2017-9050,CWE-125,2017-05-18T06:29Z,MEDIUM,3.6
107,239332eed3fa870fd41be83864882c0f389840d8,2017-09-25 09:42:34+02:00,CVE-2017-9050,CWE-125,2017-05-18T06:29Z,MEDIUM,3.6
108,ba56027e7be613b1cdd161d8af7afce1ee459e68,2017-09-25 19:09:01+02:00,CVE-2017-9050,CWE-125,2017-05-18T06:29Z,MEDIUM,3.6
109,80ef42d6555ad64eb8e2b7e4e8333fd7ac218ee2,2017-09-25 19:10:46+02:00,CVE-2017-9050,CWE-125,2017-05-18T06:29Z,MEDIUM,3.6
110,00106a1b940c98149a1f71511dca353fb0225cf5,2017-09-25 19:11:43+02:00,CVE-2017-9050,CWE-125,2017-05-18T06:29Z,MEDIUM,3.6
111,7d4ad67b8fa0124680eebb20f39f0eb06c524e58,2017-09-28 19:01:01+02:00,CVE-2017-9050,CWE-125,2017-05-18T06:29Z,MEDIUM,3.6
112,0190b014508c30cad86e55663010ba63f64c1016,2017-10-12 18:10:00+02:00,CVE-2017-9050,CWE-125,2017-05-18T06:29Z,MEDIUM,3.6
113,6e8508734b070b30db9259b64bb748fb2a5a1bfb,2017-11-01 16:34:17+01:00,SQL_INJECTION,,,,
114,29c97fa6b7067c06f5effb2136161d9564ccd5b6,2017-11-01 16:53:15+01:00,SQL_INJECTION,,,,
115,07e7900c3baf4ec25881819aa9b091436a613a8d,2017-11-07 17:34:00+01:00,SQL_INJECTION,,,,
116,a55be07ea52546568d45540c1d0a0c4a3e9f1e48,2017-11-17 08:51:50+01:00,SQL_INJECTION,,,,
117,b16343b6924537a291eccb98b04ba4920d92a47d,2018-01-17 09:13:07+01:00,CVE-2017-0917,CWE-79,2018-03-21T20:29Z,MEDIUM,2.7
118,b16343b6924537a291eccb98b04ba4920d92a47d,2018-01-17 09:13:07+01:00,CVE-2017-0917,CWE-20,2018-03-21T20:29Z,MEDIUM,2.7
119,bdac13a983758d2b8bc0746b0b2a1c5e9837b761,2018-01-18 06:35:53+01:00,CVE-2017-0917,CWE-79,2018-03-21T20:29Z,MEDIUM,2.7
120,bdac13a983758d2b8bc0746b0b2a1c5e9837b761,2018-01-18 06:35:53+01:00,CVE-2017-0917,CWE-20,2018-03-21T20:29Z,MEDIUM,2.7
121,e7074c5cdb1973ede8da4713ad079d2afa850cc8,2018-01-22 21:53:17+01:00,CVE-2018-1000006,CWE-78,2018-01-24T23:29Z,HIGH,5.9
122,ad0f44843d5bad52b09210ca019fa77308d0c778,2018-01-22 22:26:47+01:00,CVE-2018-1000006,CWE-78,2018-01-24T23:29Z,HIGH,5.9
123,a250089a40f76726cf5980a1f454e600037835aa,2018-01-22 22:40:46+01:00,CVE-2018-1000006,CWE-78,2018-01-24T23:29Z,HIGH,5.9
124,c49cb29ddf3368daf279bd60c007f9c015bc834c,2018-01-22 23:49:30+01:00,CVE-2018-1000006,CWE-78,2018-01-24T23:29Z,HIGH,5.9
125,4e66fcce29c113c81fdd10d11d7071227f20acfe,2018-01-23 14:42:22+01:00,CVE-2018-1000006,CWE-78,2018-01-24T23:29Z,HIGH,5.9
126,7c61f5bbb657b83e67d51a346c8ca72b8c9c778c,2018-01-26 00:57:10+01:00,CVE-2018-1000006,CWE-78,2018-01-24T23:29Z,HIGH,5.9
127,2ebb425b9f85414c1283e73a252b7572a63502da,2018-01-27 08:37:37+01:00,CVE-2018-1000006,CWE-78,2018-01-24T23:29Z,HIGH,5.9
128,48cce31f1a298888408733c1cd367249a887f645,2018-01-29 22:51:10+01:00,CVE-2016-7401,CWE-254,2016-10-03T18:59Z,MEDIUM,3.6
129,568aa28f78010f0d70e238af16db2accafa6aa5d,2018-01-29 23:09:41+01:00,CVE-2016-7401,CWE-254,2016-10-03T18:59Z,MEDIUM,3.6
130,e1c069e21f5a7a2ad8166fb66b0c106a20e0442d,2018-02-01 09:46:05+01:00,CVE-2017-0889,CWE-918,2017-11-13T17:29Z,HIGH,5.9
131,e1c069e21f5a7a2ad8166fb66b0c106a20e0442d,2018-02-01 09:46:05+01:00,CVE-2017-0889,CWE-918,2017-11-13T17:29Z,HIGH,5.9
